Date,Open,High,Low,Close,Adj Close,Volume
2021-04-21,229.330002,229.490005,226.070007,229.440002,226.396622,14315900
2021-04-22,228.764999,234.000000,227.820007,229.350006,226.307831,11986200
2021-04-23,230.649994,233.000000,230.509995,232.080002,229.001602,8967000
2021-04-26,231.500000,233.490005,230.820007,232.699997,229.613388,7792900
2021-04-27,233.440002,236.929993,232.080002,235.919998,232.790665,11646300
2021-04-28,237.570007,239.220001,236.330002,236.720001,233.580063,9187700
2021-04-29,237.789993,238.050003,232.600006,234.179993,231.073746,9552800
2021-04-30,231.770004,233.850006,230.509995,230.949997,227.886597,9326400
2021-05-03,231.270004,236.169998,230.404999,230.710007,227.649780,13620900
2021-05-04,230.250000,231.479996,225.449997,227.899994,224.877045,13260500
2021-05-05,228.000000,229.300003,226.729996,226.779999,223.771912,10013800
2021-05-06,227.110001,228.440002,222.880005,226.419998,223.416687,12247700
2021-05-07,227.899994,228.789993,225.050003,225.309998,222.321411,10550000
2021-05-10,222.869995,222.869995,218.559998,219.529999,216.618073,17266700
2021-05-11,213.710007,221.389999,213.000000,221.380005,218.443542,13887700
2021-05-12,224.740005,225.289993,219.000000,219.899994,216.983154,20366900
2021-05-13,213.149994,215.500000,204.389999,206.080002,203.346481,51693900
2021-05-14,209.923996,210.940002,206.020004,209.509995,206.730972,31626800
2021-05-17,210.615005,213.149994,209.440002,211.050003,208.250565,20529800
2021-05-18,212.500000,215.169998,211.419998,213.720001,210.885147,19519400
2021-05-19,211.100006,212.910004,210.119995,212.539993,209.720779,17030400
2021-05-20,212.994995,217.630005,212.630005,216.990005,214.111771,19123400
2021-05-21,215.229996,215.889999,209.869995,211.059998,208.260422,22825500
2021-05-24,210.029999,212.009995,208.699997,210.440002,207.648651,15884200
2021-05-25,212.830002,214.050003,211.009995,211.130005,208.329498,14116100
2021-05-26,212.300003,213.750000,211.539993,211.779999,208.970871,9405800
2021-05-27,214.169998,215.460007,212.529999,212.740005,209.918152,18680200
2021-05-28,212.759995,214.529999,212.059998,213.960007,211.121964,10401500
2021-06-01,223.020004,223.130005,218.240005,219.479996,216.568741,23052800
2021-06-02,219.429993,219.940002,217.460007,219.589996,216.677277,13126400
2021-06-03,218.000000,218.699997,216.304993,217.039993,214.161102,12448100
2021-06-04,218.279999,219.080002,217.139999,219.020004,216.114838,8999100
2021-06-07,218.000000,218.399994,215.690002,216.899994,214.022949,9928600
2021-06-08,217.289993,218.229996,214.740005,215.820007,212.957291,9443000
2021-06-09,215.210007,216.570007,213.309998,213.320007,210.490448,10233600
2021-06-10,213.500000,214.800003,212.210007,213.070007,210.243774,10735900
2021-06-11,213.449997,213.460007,211.000000,211.639999,208.832733,12276600
2021-06-14,212.250000,215.164993,212.244003,213.940002,211.102219,10773100
2021-06-15,214.169998,214.490005,209.639999,210.059998,207.273682,12167000
2021-06-16,209.750000,211.619995,208.225998,209.320007,206.543518,10917800
2021-06-17,209.899994,212.490005,209.770004,211.600006,208.793274,11233700
2021-06-18,212.009995,213.839996,210.589996,212.300003,209.483978,13724600
2021-06-21,210.550003,211.779999,208.990005,211.059998,208.260422,9273800
2021-06-22,210.419998,211.660004,209.860001,211.320007,208.516983,11092100
2021-06-23,214.190002,216.330002,213.130005,214.860001,212.010025,13785800
2021-06-24,216.990005,219.580002,215.559998,218.380005,215.483337,13488200
2021-06-25,221.710007,230.250000,221.100006,228.500000,225.469101,27383900
2021-06-28,229.500000,230.889999,226.720001,228.589996,225.557892,13564900
2021-06-29,226.699997,229.639999,225.602005,229.440002,226.396622,10273800
2021-06-30,226.990005,227.979996,225.679993,226.779999,223.771912,9348600
2021-07-01,228.070007,228.850006,221.550003,221.869995,218.927032,13316400
2021-07-02,219.160004,219.500000,216.460007,217.750000,214.861679,12989200
2021-07-06,215.320007,215.399994,209.373001,211.600006,208.793274,23719900
2021-07-07,211.610001,212.050003,207.820007,208.000000,205.241013,18340400
2021-07-08,201.710007,202.279999,198.259995,199.850006,197.199127,33992500
2021-07-09,202.050003,207.268005,201.500000,205.940002,203.208344,16911300
2021-07-12,203.899994,206.455002,203.020004,205.479996,202.754440,11259500
